date,open,high,low,close,volume
2024-09-17,214.3420,215.4845,213.1002,215.3752,45519300
2024-09-18,216.1303,221.2566,216.1203,219.2498,59894900
2024-09-19,223.5217,228.3202,223.1641,227.3764,66781300
2024-09-20,228.4692,231.5688,226.1345,226.7107,318679900
2024-09-23,225.8564,227.9526,224.3364,224.9921,54146000
2024-09-24,227.1578,227.8533,224.2569,225.8862,43556100
2024-09-25,223.4621,225.8067,222.5580,224.8927,42308700
2024-09-26,225.8166,227.0088,223.9390,226.0352,36636700
2024-09-27,226.9691,228.0221,225.8166,226.3034,34026000
2024-09-30,228.5388,231.4794,228.1513,231.4794,54541900
2024-10-01,228.0221,228.1513,222.2799,224.7337,63285000
2024-10-02,224.4158,225.8862,221.5646,225.3000,32880600
2024-10-03,223.6707,225.3298,221.8626,224.1973,34044200
2024-10-04,226.4127,226.5121,222.6673,225.3199,37245100
2024-10-07,223.0349,224.2171,219.8856,220.2432,39505400
2024-10-08,222.8362,224.5053,221.7931,224.2966,31855700
2024-10-09,223.7601,228.2506,223.3628,228.0420,33591100
2024-10-10,226.2935,228.0023,225.6875,227.5453,28183500
2024-10-11,227.8036,227.9128,225.8564,226.0650,31759200
2024-10-14,227.2075,230.2177,227.1082,229.7905,39882100
2024-10-15,232.0855,235.9401,230.8535,232.3239,64751400
2024-10-16,230.0886,230.6052,228.3401,230.2674,34082200
2024-10-17,231.9066,232.3239,229.0156,230.6350,32993800
2024-10-18,234.6387,234.6387,232.4828,233.4664,46431500
2024-10-21,232.9200,235.3043,232.9200,234.9367,36254500
2024-10-22,232.3636,234.6784,231.0821,234.3208,38846600
2024-10-23,232.5524,233.6054,226.2736,229.2540,52287000
2024-10-24,228.4791,229.3137,226.9194,229.0653,31109500
2024-10-25,228.2407,231.6980,228.0718,229.8998,38802300
2024-10-28,231.7973,233.1981,231.0324,231.8768,36087100
2024-10-29,231.5788,232.8007,230.8039,232.1451,35417200
2024-10-30,231.0920,231.9464,228.0520,228.5984,47070900
2024-10-31,227.8433,228.3301,223.8992,224.4357,64370100
2024-11-01,219.5279,223.8794,218.8325,221.4553,65276700
2024-11-04,219.5478,221.3361,218.2762,220.5611,44944500
2024-11-05,220.3525,222.4885,219.6968,221.9918,28111300
2024-11-06,221.1572,224.5947,219.7465,221.2665,54561100
2024-11-07,223.1641,226.3929,223.1045,225.9955,42137700
2024-11-08,225.9358,227.4177,225.1799,225.7269,38328800
2024-11-11,223.7776,224.4738,220.2966,223.0117,42005600
2024-11-12,223.3300,224.3644,222.1465,223.0117,40398300
2024-11-13,222.7929,225.4186,221.5497,223.8969,48566200
2024-11-14,223.7975,227.6265,223.7776,226.9801,44923900
2024-11-15,225.1699,225.6871,223.0515,223.7776,47923700
2024-11-18,224.0262,228.4918,223.9467,226.7812,44633700
2024-11-19,225.7468,228.9095,225.4285,227.0397,36211800
2024-11-20,226.8209,228.6808,224.6627,227.7558,35169600
2024-11-21,227.6365,228.9095,224.4837,227.2785,42108300
2024-11-22,226.8209,229.4665,226.8209,228.6211,38168300
2024-11-25,230.2025,231.9828,228.4918,231.6048,90152800
2024-11-26,232.0623,234.2902,232.0623,233.7829,45986200
2024-11-27,233.1961,234.4095,232.5397,233.6536,33498400
2024-11-29,233.5343,236.5180,232.6989,236.0406,28481400
2024-12-02,235.9809,239.4818,235.8715,238.2883,48137100
2024-12-03,238.5071,241.4411,237.6021,241.3317,38861000
2024-12-04,241.5505,242.7837,239.9393,241.6897,44383900
2024-12-05,242.6644,243.2114,240.8145,241.7195,40033900
2024-12-06,241.5903,243.3009,240.7648,241.5206,36870600
2024-12-09,240.5161,245.8967,240.4366,245.4094,44649200
2024-12-10,245.5486,246.8615,244.0071,246.4239,36914800
2024-12-11,246.6128,249.4374,244.9221,245.1508,45205800
2024-12-12,245.5487,247.3886,244.3452,246.6129,32777500
2024-12-13,246.4736,247.9356,244.9022,246.7819,33155300
2024-12-16,246.6427,250.0143,246.3045,249.6761,51694800
2024-12-17,248.7213,252.4509,248.4229,252.1028,51356400
2024-12-18,250.7900,252.8985,246.3940,246.7023,56774100
2024-12-19,246.1553,250.6309,245.7476,248.4329,60882300
2024-12-20,246.6924,253.6146,244.3552,253.1074,147495300
2024-12-23,253.3858,254.2610,252.0730,253.8831,40858800
2024-12-24,254.1019,256.8071,253.9030,256.7972,23234700
2024-12-26,256.7872,258.6869,256.2303,257.6127,27237100
2024-12-27,256.4292,257.2945,251.6851,254.2014,42355300
2024-12-30,250.8596,252.1227,249.3877,250.8298,35557500
2024-12-31,251.0685,251.9039,248.0748,249.0595,39480700
2025-01-02,247.5775,247.7466,240.5062,242.5252,55740700
2025-01-03,242.0378,242.8533,240.5758,242.0378,40244100
2025-01-06,242.9826,245.9862,241.8787,243.6689,45045600
